"age","failures","absences","G1","G2","G3","female","rural","bigFamily","parentsApart","extraSchool","familyHelp","seeksCollege","significantOther"
18,0,6,5,6,6,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
17,0,4,5,5,6,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,3,10,7,8,10,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
15,0,2,15,14,15,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
16,0,4,6,10,10,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,10,15,15,15,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,0,12,12,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
17,0,6,6,5,6,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
15,0,0,16,18,19,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
15,0,0,14,15,15,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,0,10,8,9,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,4,10,12,12,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,2,14,14,14,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,2,10,10,11,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,0,14,16,16,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
16,0,4,14,14,14,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,6,13,14,14,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,4,8,10,10,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
17,3,16,6,5,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,4,8,10,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
15,0,0,13,14,15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
15,0,0,12,15,15,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,2,15,15,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
16,0,0,13,13,12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,2,10,9,8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
16,2,14,6,9,8,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,2,12,12,11,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,4,15,16,15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
16,0,4,11,11,11,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
16,0,16,10,12,11,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
15,0,0,9,11,12,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,0,17,16,17,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,0,17,16,16,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
15,0,0,8,10,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
16,0,0,12,14,15,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,0,8,7,6,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,2,15,16,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,7,15,16,15,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
15,0,2,12,12,11,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
15,0,8,14,13,13,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
16,1,25,7,10,11,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
15,0,8,12,12,12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
15,0,2,19,18,18,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,0,8,8,11,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
16,1,14,10,10,9,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
15,0,8,8,8,6,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
16,0,12,11,12,11,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
16,0,4,19,19,20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
15,0,2,15,15,14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,1,2,7,7,7,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
16,0,2,12,13,13,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,2,11,13,13,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
15,1,6,11,11,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
15,0,0,8,10,11,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
15,0,6,10,13,13,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
16,0,8,8,9,10,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
15,0,0,14,15,15,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
15,0,4,14,15,15,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,2,9,10,9,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
16,0,2,15,16,16,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,6,10,11,11,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,6,10,8,11,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
16,0,4,8,10,9,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
16,0,2,10,9,9,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
15,0,0,10,10,10,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
16,0,2,16,15,15,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,4,13,13,12,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
16,0,4,7,7,6,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
15,0,2,8,9,8,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
15,0,12,16,16,16,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,0,13,15,15,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,0,10,10,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
15,2,2,8,6,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
16,0,2,12,12,14,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
16,0,54,11,12,11,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
15,0,6,9,9,10,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,8,11,11,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
16,0,0,11,11,11,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
17,3,2,8,8,10,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
16,0,12,5,5,5,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,2,10,12,12,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
15,0,4,11,10,11,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
15,0,10,7,6,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,4,15,15,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
15,0,2,9,10,10,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,2,6,7,9,8,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
16,0,4,8,7,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,4,13,14,14,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,1,12,11,10,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
16,0,18,8,6,7,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
16,0,0,7,7,8,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
15,0,4,16,17,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
16,0,4,7,6,6,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
16,0,0,11,10,10,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,6,11,13,14,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
15,1,2,7,10,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
16,0,2,11,15,15,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
16,0,2,8,9,10,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
16,0,6,11,14,14,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
16,0,0,7,9,8,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
16,0,14,7,7,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
16,0,0,16,17,17,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
15,0,4,10,13,14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,26,7,6,6,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
15,0,0,16,18,18,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
15,0,10,10,11,11,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
15,0,8,7,8,8,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
16,0,2,16,18,18,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,6,10,13,13,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
16,0,4,14,15,16,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
15,0,6,18,19,19,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
16,1,0,7,10,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
16,1,6,10,13,13,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
15,0,10,18,19,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
15,0,8,9,9,9,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
16,0,2,15,15,16,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,2,11,13,14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,0,13,14,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
17,1,20,9,7,8,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,6,14,13,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
15,0,2,16,15,15,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
15,0,6,16,14,15,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,2,13,13,13,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
16,0,18,14,11,13,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,0,8,7,8,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
15,0,0,13,13,12,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
15,0,0,7,10,11,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
19,3,2,7,8,9,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
18,2,0,7,4,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,8,18,18,18,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
15,2,0,12,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
15,0,0,8,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
17,0,12,10,13,12,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
16,0,16,12,11,11,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
15,0,0,9,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
15,0,0,11,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
17,0,0,10,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
16,2,0,4,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
16,1,0,14,12,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
15,0,0,16,16,15,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
15,0,0,7,9,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
16,2,8,9,9,9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,2,9,11,11,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,2,14,14,13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
17,3,0,5,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,0,8,11,11,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,3,0,6,7,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,0,2,10,11,11,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,0,7,6,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
15,3,0,8,9,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
18,3,0,6,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
16,1,6,12,13,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
15,2,8,10,10,10,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
19,3,0,5,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
17,0,0,11,11,12,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
15,0,2,11,8,8,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
17,0,8,16,12,13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
18,3,6,9,8,10,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,2,17,15,15,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
16,1,4,10,12,12,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
17,2,0,7,6,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
15,2,6,5,9,7,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
16,1,0,7,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
17,0,2,10,10,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
17,3,0,5,8,7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
16,1,16,12,11,12,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
16,0,4,10,10,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
16,0,0,14,15,16,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
16,0,0,6,7,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,0,14,14,14,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
16,2,0,6,5,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,2,13,15,16,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
17,0,0,13,11,10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
16,3,0,8,7,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
16,0,4,10,11,9,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
17,0,4,10,9,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
16,0,2,13,13,11,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
17,0,4,6,5,6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
16,0,10,10,8,9,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
17,0,4,10,10,11,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
16,0,10,9,8,8,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,2,12,13,12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
17,0,0,16,17,17,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
17,0,56,9,9,8,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
16,0,14,12,13,12,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
17,0,12,12,12,11,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
16,0,2,11,12,11,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
16,0,0,15,15,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
17,0,6,8,7,9,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
17,0,4,8,9,10,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
16,0,10,11,12,13,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
17,0,0,8,8,9,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
17,0,12,7,8,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
16,0,8,8,9,10,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,0,0,13,14,14,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
17,0,0,14,15,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
